date,Hour,Load_Station1,Load_Station2
1398/06/07,1,17.903472,8.125604
1398/06/08,1,15.430012,6.882172
1398/06/09,1,14.578344,5.925132
1398/06/10,1,21.683844,12.994076
1398/06/11,1,27.555584,18.547556
1398/06/12,1,26.759136,17.781216
1398/06/13,1,27.578192,18.146536
1398/06/14,1,26.349872,16.694576
1398/06/15,1,27.686172,18.254516
1398/06/16,1,21.76452,11.790964
1398/06/17,1,27.611436,17.655084
1398/06/18,1,27.251136,17.959256
1398/06/19,1,21.669108,12.71484
1398/06/20,1,16.791756,7.175168
1398/06/21,1,28.108352,18.511116
1398/06/22,1,27.320212,18.110048
1398/06/23,1,22.461768,13.795656
1398/06/24,1,28.01442,18.305364
1398/06/25,1,27.727704,18.35626
1398/06/26,1,27.298612,17.757288
1398/06/27,1,28.32494,18.353536
1398/06/28,1,27.698076,17.834188
1398/06/29,1,28.300692,18.168008
1398/06/30,1,22.720276,13.301524
1398/06/31,1,21.72722,11.917092
1398/07/01,1,9.414452,17.250476
1398/07/02,1,9.728412,23.211768
1398/07/03,1,10.081076,13.215032
1398/07/04,1,9.83378,16.0102
1398/07/05,1,10.109032,17.811768
1398/07/06,1,10.128384,16.537624
1398/07/07,1,10.04452,20.690192
1398/07/08,1,8.565044,14.111924
1398/07/09,1,8.620956,14.61518
1398/07/10,1,8.676864,9.55188
1398/07/11,1,8.71342,13.48786
1398/07/12,1,8.954268,14.99126
1398/07/13,1,9.02738,14.898384
1398/07/14,1,9.444556,15.441644
1398/07/15,1,9.603688,15.479496
1398/07/16,1,9.397248,14.723592
1398/07/17,1,10.091828,15.83998
1398/07/18,1,9.921948,15.788192
1398/07/19,1,9.356392,15.27612
1398/07/20,1,8.949964,10.323912
1398/07/21,1,9.764968,15.194028
1398/07/22,1,9.489716,14.956604
1398/07/23,1,9.190812,15.155432
1398/07/24,1,8.681164,14.385672
1398/07/25,1,9.72196,19.84108
1398/07/26,1,9.386496,13.485484
1398/07/27,1,9.62734,15.222484
1398/07/28,1,9.947752,15.038648
1398/07/29,1,9.88324,15.537404
1398/07/30,1,10.059572,15.841992
1398/08/01,1,9.352092,15.193584
1398/08/02,1,9.810128,15.59172
1398/08/03,1,9.414452,16.327616
1398/08/04,1,9.728412,16.34576
1398/08/05,1,10.081076,15.328356
1398/08/06,1,9.83378,12.0216
1398/08/07,1,10.109032,26.671756
1398/08/08,1,10.128384,26.866608
1398/08/09,1,10.04452,28.354136
1398/08/10,1,8.565044,26.801036
1398/08/11,1,8.620956,26.322408
1398/08/12,1,8.676864,31.159356
1398/08/13,1,8.71342,31.70718
1398/08/14,1,8.954268,27.358096
1398/08/15,1,9.02738,27.480028
1398/08/16,1,9.444556,27.958444
1398/08/17,1,9.603688,28.509176
1398/08/18,1,9.397248,27.675084
1398/08/19,1,10.091828,28.4086
1398/08/20,1,10.739784,29.328768
1398/08/21,1,10.451432,28.61362
1398/08/22,1,3.294024,21.307544
1398/08/23,1,3.196276,21.096556
1398/08/24,1,10.082444,26.533672
1398/08/25,1,10.255944,28.857352
1398/08/26,1,10.85952,27.396332
1398/08/27,1,11.013472,29.40474
1398/08/28,1,11.10144,34.321228
1398/08/29,1,10.783768,29.408084
1398/08/30,1,10.358576,24.37832
1398/09/01,1,9.791652,28.3496
1398/09/02,1,10.419668,27.538176
1398/09/03,1,9.808756,28.34172
1398/09/04,1,4.801748,23.269452
1398/09/05,1,11.00614,29.194424
1398/09/06,1,11.223624,24.74656
1398/09/07,1,10.930388,34.000952
1398/09/08,1,11.067232,29.329736
1398/09/09,1,10.67136,29.218408
1398/09/10,1,10.820424,33.691704
1398/09/11,1,10.837528,23.833312
1398/09/12,1,11.0208,29.286308
1398/09/13,1,10.835084,33.53774
1398/09/14,1,9.466648,31.78306
1398/09/15,1,11.103884,33.773612
1398/09/16,1,11.055012,28.54092
1398/09/17,1,11.037908,28.433384
1398/09/18,1,11.426444,28.992344
1398/09/19,1,11.50464,24.609464
1398/09/20,1,11.538852,25.11222
1398/09/21,1,11.602388,29.612864
1398/09/22,1,11.416672,29.630496
1398/09/23,1,11.314036,22.8798
1398/09/24,1,11.402008,23.279336
1398/09/25,1,11.529076,29.927084
1398/09/26,1,11.445992,33.823644
1398/09/27,1,11.057456,26.174412
1398/09/28,1,11.387348,23.40974
1398/09/29,1,11.53152,23.959876
1398/09/30,1,11.511972,29.124104
1398/10/01,1,13.672112,11.5975
1398/10/02,1,23.101,11.326256
1398/10/03,1,8.73732,10.91328
1398/10/04,1,21.634684,10.957268
1398/10/05,1,14.94824,11.052568
1398/10/06,1,16.440008,11.10144
1398/10/07,1,17.890256,10.981704
1398/10/08,1,17.567332,10.986592
1398/10/09,1,12.722832,11.069672
1398/10/10,1,23.020272,11.023244
1398/10/11,1,17.902352,11.118548
1398/10/12,1,23.470064,11.10144
1398/10/13,1,22.92056,11.179636
1398/10/14,1,23.112272,11.035464
1398/10/15,1,10.520928,10.695796
1398/10/16,1,12.672628,9.601048
1398/10/17,1,17.505352,10.583392
1398/10/18,1,17.529368,9.89184
